abstract_id,source_id,title,disagreement_type,pattern,recommendation,reviewer_1_name,reviewer_1_decision,reviewer_1_confidence,reviewer_2_name,reviewer_2_decision,reviewer_2_confidence,reviewer_3_name,reviewer_3_decision,reviewer_3_confidence
40689,RadOut_2023,Outdoor Science Approach with Peer Tutoring at University Level as an Example of Implementing Sustainable Development Strategies,partial,INCLUDE(2) vs EXCLUDE(1),Mayoria hacia INCLUDE. Verificar los criterios de evaluacion de Climate Literacy & Green Skills Specialist para entender la discrepancia.,Lead Methodologist,INCLUDE,82,ESD & Sustainability Education Expert,INCLUDE,85,Climate Literacy & Green Skills Specialist,EXCLUDE,70
40692,BonSci_2025,Scientific Collections as Educational Resources: A Methodological Experience with the Ichthyofauna of the Tapajós River for Sustainable Development,partial,EXCLUDE(2) vs INCLUDE(1),Mayoria hacia EXCLUDE. Verificar los criterios de evaluacion de ESD & Sustainability Education Expert para entender la discrepancia.,Lead Methodologist,EXCLUDE,70,ESD & Sustainability Education Expert,INCLUDE,78,Climate Literacy & Green Skills Specialist,EXCLUDE,70
40700,NölTra_2020,Transfer for Sustainable Development at Higher Education Institutions-Untapped Potential for Education for Sustainable Development and for Societal Transformation,partial,INCLUDE(2) vs EXCLUDE(1),Mayoria hacia INCLUDE. Verificar los criterios de evaluacion de Climate Literacy & Green Skills Specialist para entender la discrepancia.,Lead Methodologist,INCLUDE,78,ESD & Sustainability Education Expert,INCLUDE,78,Climate Literacy & Green Skills Specialist,EXCLUDE,70
40704,BaeAna_2023,Analysing the sustainability competencies of preservice teachers in Spain,partial,INCLUDE(2) vs EXCLUDE(1),Mayoria hacia INCLUDE. Verificar los criterios de evaluacion de Climate Literacy & Green Skills Specialist para entender la discrepancia.,Lead Methodologist,INCLUDE,78,ESD & Sustainability Education Expert,INCLUDE,78,Climate Literacy & Green Skills Specialist,EXCLUDE,50
40710,SigCla_2023,Classical paradigms versus complexity thinking in engineering education: an essential discussion in the education for sustainable development,partial,INCLUDE(2) vs EXCLUDE(1),Mayoria hacia INCLUDE. Verificar los criterios de evaluacion de Climate Literacy & Green Skills Specialist para entender la discrepancia.,Lead Methodologist,INCLUDE,78,ESD & Sustainability Education Expert,INCLUDE,78,Climate Literacy & Green Skills Specialist,EXCLUDE,70
40713,BraDev_2022,"Developing ESD-specific professional action competence for teachers: knowledge, skills, and attitudes in implementing ESD at the school level",partial,INCLUDE(2) vs EXCLUDE(1),Mayoria hacia INCLUDE. Verificar los criterios de evaluacion de Lead Methodologist para entender la discrepancia.,Lead Methodologist,EXCLUDE,70,ESD & Sustainability Education Expert,INCLUDE,85,Climate Literacy & Green Skills Specialist,INCLUDE,78
40721,RamEng_2020,Engineering Education for Sustainable Development: Evaluation Criteria for Brazilian Context,partial,EXCLUDE(2) vs INCLUDE(1),Mayoria hacia EXCLUDE. Verificar los criterios de evaluacion de Lead Methodologist para entender la discrepancia.,Lead Methodologist,INCLUDE,82,ESD & Sustainability Education Expert,EXCLUDE,50,Climate Literacy & Green Skills Specialist,EXCLUDE,70
40723,MooExt_2019,Extending communities of practice: a partnership model for sustainable schools,partial,EXCLUDE(2) vs INCLUDE(1),Mayoria hacia EXCLUDE. Verificar los criterios de evaluacion de ESD & Sustainability Education Expert para entender la discrepancia.,Lead Methodologist,EXCLUDE,70,ESD & Sustainability Education Expert,INCLUDE,78,Climate Literacy & Green Skills Specialist,EXCLUDE,70
40726,FilIde_2017,Identifying and overcoming obstacles to the implementation of sustainable development at universities,partial,INCLUDE(2) vs EXCLUDE(1),Mayoria hacia INCLUDE. Verificar los criterios de evaluacion de Climate Literacy & Green Skills Specialist para entender la discrepancia.,Lead Methodologist,INCLUDE,78,ESD & Sustainability Education Expert,INCLUDE,78,Climate Literacy & Green Skills Specialist,EXCLUDE,70
40728,CheLea_2022,Learners' Continuous Use Intention of Blended Learning: TAM-SET Model,partial,INCLUDE(2) vs EXCLUDE(1),Mayoria hacia INCLUDE. Verificar los criterios de evaluacion de Climate Literacy & Green Skills Specialist para entender la discrepancia.,Lead Methodologist,INCLUDE,72,ESD & Sustainability Education Expert,INCLUDE,78,Climate Literacy & Green Skills Specialist,EXCLUDE,70
40730,SheLon_2015,Longitudinal analysis of the environmental attitudes of university students,partial,EXCLUDE(2) vs INCLUDE(1),Mayoria hacia EXCLUDE. Verificar los criterios de evaluacion de ESD & Sustainability Education Expert para entender la discrepancia.,Lead Methodologist,EXCLUDE,70,ESD & Sustainability Education Expert,INCLUDE,85,Climate Literacy & Green Skills Specialist,EXCLUDE,70
40737,TimQua_2022,Quality Assurance in E-Learning: A Proposal from Accessibility to Sustainability,partial,EXCLUDE(2) vs INCLUDE(1),Mayoria hacia EXCLUDE. Verificar los criterios de evaluacion de ESD & Sustainability Education Expert para entender la discrepancia.,Lead Methodologist,EXCLUDE,70,ESD & Sustainability Education Expert,INCLUDE,78,Climate Literacy & Green Skills Specialist,EXCLUDE,70
40739,PenStu_2022,Students' Perceptions of Active Learning Classrooms from an Informal Learning Perspective: Building a Full-Time Sustainable Learning Environment in Higher Education,partial,INCLUDE(2) vs EXCLUDE(1),Mayoria hacia INCLUDE. Verificar los criterios de evaluacion de Climate Literacy & Green Skills Specialist para entender la discrepancia.,Lead Methodologist,INCLUDE,72,ESD & Sustainability Education Expert,INCLUDE,78,Climate Literacy & Green Skills Specialist,EXCLUDE,70
40744,SupTea_2025,Teaching for tomorrow: a qualitative exploration of ESD in initial teacher education across five European universities,partial,INCLUDE(2) vs EXCLUDE(1),Mayoria hacia INCLUDE. Verificar los criterios de evaluacion de Climate Literacy & Green Skills Specialist para entender la discrepancia.,Lead Methodologist,INCLUDE,85,ESD & Sustainability Education Expert,INCLUDE,85,Climate Literacy & Green Skills Specialist,EXCLUDE,70
40747,EliThe_2023,The Development and Validation of an Instrument for Assessing Science Teacher Competency to Teach ESD,partial,EXCLUDE(2) vs INCLUDE(1),Mayoria hacia EXCLUDE. Verificar los criterios de evaluacion de ESD & Sustainability Education Expert para entender la discrepancia.,Lead Methodologist,EXCLUDE,70,ESD & Sustainability Education Expert,INCLUDE,85,Climate Literacy & Green Skills Specialist,EXCLUDE,70
40752,HanTow_2023,Towards Sustainability: A Quantitative Inquiry into Chinese University Students' Perceived Learner Empowerment and Innovative Behaviour,partial,INCLUDE(2) vs EXCLUDE(1),Mayoria hacia INCLUDE. Verificar los criterios de evaluacion de Climate Literacy & Green Skills Specialist para entender la discrepancia.,Lead Methodologist,INCLUDE,78,ESD & Sustainability Education Expert,INCLUDE,78,Climate Literacy & Green Skills Specialist,EXCLUDE,70
40764,LidCan_2015,"Canadian STARS-Rated Campus Sustainability Plans: Priorities, Plan Creation and Design",partial,INCLUDE(2) vs EXCLUDE(1),Mayoria hacia INCLUDE. Verificar los criterios de evaluacion de Lead Methodologist para entender la discrepancia.,Lead Methodologist,EXCLUDE,70,ESD & Sustainability Education Expert,INCLUDE,78,Climate Literacy & Green Skills Specialist,INCLUDE,70
40774,WalDev_2018,Development of an ESD Indicator for Teacher Training and the National Monitoring for ESD Implementation in Germany,partial,EXCLUDE(2) vs INCLUDE(1),Mayoria hacia EXCLUDE. Verificar los criterios de evaluacion de ESD & Sustainability Education Expert para entender la discrepancia.,Lead Methodologist,EXCLUDE,70,ESD & Sustainability Education Expert,INCLUDE,85,Climate Literacy & Green Skills Specialist,EXCLUDE,70
40777,MokEdu_2023,Education for sustainable development in higher education institutions: an approach for effective interdisciplinarity,partial,INCLUDE(2) vs EXCLUDE(1),Mayoria hacia INCLUDE. Verificar los criterios de evaluacion de Lead Methodologist para entender la discrepancia.,Lead Methodologist,EXCLUDE,70,ESD & Sustainability Education Expert,INCLUDE,85,Climate Literacy & Green Skills Specialist,INCLUDE,85
40779,ZutEdu_2019,Education for Sustainable Development: Emerging Themes from Adopters of a Declaration,partial,INCLUDE(2) vs EXCLUDE(1),Mayoria hacia INCLUDE. Verificar los criterios de evaluacion de Climate Literacy & Green Skills Specialist para entender la discrepancia.,Lead Methodologist,INCLUDE,78,ESD & Sustainability Education Expert,INCLUDE,78,Climate Literacy & Green Skills Specialist,EXCLUDE,70
40780,AdaEdu_2023,Education for Sustainable Development: Mapping the SDGs to University Curricula,partial,INCLUDE(2) vs EXCLUDE(1),Mayoria hacia INCLUDE. Verificar los criterios de evaluacion de Climate Literacy & Green Skills Specialist para entender la discrepancia.,Lead Methodologist,INCLUDE,78,ESD & Sustainability Education Expert,INCLUDE,85,Climate Literacy & Green Skills Specialist,EXCLUDE,70
40784,LamHig_2018,Higher education for sustainable development in Flanders: balancing between normative and transformative approaches,partial,INCLUDE(2) vs EXCLUDE(1),Mayoria hacia INCLUDE. Verificar los criterios de evaluacion de Climate Literacy & Green Skills Specialist para entender la discrepancia.,Lead Methodologist,INCLUDE,78,ESD & Sustainability Education Expert,INCLUDE,78,Climate Literacy & Green Skills Specialist,EXCLUDE,70
40786,ColIde_2018,Identification of Levels of Sustainable Consciousness of Teachers in Training through an E-Portfolio,partial,INCLUDE(2) vs EXCLUDE(1),Mayoria hacia INCLUDE. Verificar los criterios de evaluacion de Climate Literacy & Green Skills Specialist para entender la discrepancia.,Lead Methodologist,INCLUDE,78,ESD & Sustainability Education Expert,INCLUDE,78,Climate Literacy & Green Skills Specialist,EXCLUDE,70
40794,DecLea_2019,Learning to Navigate (in) the Anthropocene,partial,EXCLUDE(2) vs INCLUDE(1),Mayoria hacia EXCLUDE. Verificar los criterios de evaluacion de Lead Methodologist para entender la discrepancia.,Lead Methodologist,INCLUDE,78,ESD & Sustainability Education Expert,EXCLUDE,50,Climate Literacy & Green Skills Specialist,EXCLUDE,70
40795,AlsLev_2020,Level of Sustainability Awareness among University Students in the Eastern Province of Saudi Arabia,partial,INCLUDE(2) vs EXCLUDE(1),Mayoria hacia INCLUDE. Verificar los criterios de evaluacion de Climate Literacy & Green Skills Specialist para entender la discrepancia.,Lead Methodologist,INCLUDE,78,ESD & Sustainability Education Expert,INCLUDE,78,Climate Literacy & Green Skills Specialist,EXCLUDE,50
40801,FueRef_2021,Reflective Practice in Times of Covid-19: A Tool to Improve Education for Sustainable Development in Pre-Service Teacher Training,partial,INCLUDE(2) vs EXCLUDE(1),Mayoria hacia INCLUDE. Verificar los criterios de evaluacion de Climate Literacy & Green Skills Specialist para entender la discrepancia.,Lead Methodologist,INCLUDE,78,ESD & Sustainability Education Expert,INCLUDE,78,Climate Literacy & Green Skills Specialist,EXCLUDE,50
40807,Sá Sus_2019,Sustainability Strategies in Portuguese Higher Education Institutions: Commitments and Practices from Internal Insights,partial,INCLUDE(2) vs EXCLUDE(1),Mayoria hacia INCLUDE. Verificar los criterios de evaluacion de Climate Literacy & Green Skills Specialist para entender la discrepancia.,Lead Methodologist,INCLUDE,78,ESD & Sustainability Education Expert,INCLUDE,78,Climate Literacy & Green Skills Specialist,EXCLUDE,70
40809,VelSus_2025,Sustainable Decision-Making in Higher Education: An AHP-NWA Framework for Evaluating Learning Management Systems,partial,INCLUDE(2) vs EXCLUDE(1),Mayoria hacia INCLUDE. Verificar los criterios de evaluacion de Climate Literacy & Green Skills Specialist para entender la discrepancia.,Lead Methodologist,INCLUDE,65,ESD & Sustainability Education Expert,INCLUDE,78,Climate Literacy & Green Skills Specialist,EXCLUDE,70
40816,BezUnd_2020,Understanding of Sustainability and Education for Sustainable Development among Pre-Service Biology Teachers,partial,INCLUDE(2) vs EXCLUDE(1),Mayoria hacia INCLUDE. Verificar los criterios de evaluacion de Lead Methodologist para entender la discrepancia.,Lead Methodologist,EXCLUDE,70,ESD & Sustainability Education Expert,INCLUDE,78,Climate Literacy & Green Skills Specialist,INCLUDE,78
40819,ÁlvVar_2019,Variables Influencing Pre-Service Teacher Training in Education for Sustainable Development: A Case Study of Two Spanish Universities,partial,EXCLUDE(2) vs INCLUDE(1),Mayoria hacia EXCLUDE. Verificar los criterios de evaluacion de Lead Methodologist para entender la discrepancia.,Lead Methodologist,INCLUDE,78,ESD & Sustainability Education Expert,EXCLUDE,50,Climate Literacy & Green Skills Specialist,EXCLUDE,70
40825,BabAdv_2021,Advancing Environmental Education for Sustainable Development in Higher Education in Nigeria: Current Challenges and Future Directions,partial,EXCLUDE(2) vs INCLUDE(1),Mayoria hacia EXCLUDE. Verificar los criterios de evaluacion de ESD & Sustainability Education Expert para entender la discrepancia.,Lead Methodologist,EXCLUDE,50,ESD & Sustainability Education Expert,INCLUDE,78,Climate Literacy & Green Skills Specialist,EXCLUDE,70
40839,VidDoe_2022,Does Mindfulness Influence Academic Performance? The Role of Resilience in Education for Sustainable Development,partial,INCLUDE(2) vs EXCLUDE(1),Mayoria hacia INCLUDE. Verificar los criterios de evaluacion de ESD & Sustainability Education Expert para entender la discrepancia.,Lead Methodologist,INCLUDE,78,ESD & Sustainability Education Expert,EXCLUDE,50,Climate Literacy & Green Skills Specialist,INCLUDE,75
40841,BruEdu_2019,"Education for Sustainable Development 4.0: Lessons Learned from the University of Graz, Austria",partial,INCLUDE(2) vs EXCLUDE(1),Mayoria hacia INCLUDE. Verificar los criterios de evaluacion de Climate Literacy & Green Skills Specialist para entender la discrepancia.,Lead Methodologist,INCLUDE,78,ESD & Sustainability Education Expert,INCLUDE,78,Climate Literacy & Green Skills Specialist,EXCLUDE,70
40844,HerEmo_2021,Emotional Performance of a Low-Cost Eco-Friendly Project Based Learning Methodology for Science Education: An Approach in Prospective Teachers,partial,INCLUDE(2) vs EXCLUDE(1),Mayoria hacia INCLUDE. Verificar los criterios de evaluacion de Climate Literacy & Green Skills Specialist para entender la discrepancia.,Lead Methodologist,INCLUDE,78,ESD & Sustainability Education Expert,INCLUDE,78,Climate Literacy & Green Skills Specialist,EXCLUDE,50
40846,BaoEva_2024,Evaluating sustainable service quality in higher education from a multi-stakeholder perspective: An integrated fuzzy group decision-making method,partial,EXCLUDE(2) vs INCLUDE(1),Mayoria hacia EXCLUDE. Verificar los criterios de evaluacion de Lead Methodologist para entender la discrepancia.,Lead Methodologist,INCLUDE,85,ESD & Sustainability Education Expert,EXCLUDE,50,Climate Literacy & Green Skills Specialist,EXCLUDE,70
40847,LiuEva_2022,Evaluation of Student-Perceived Service Quality in Higher Education for Sustainable Development: A Fuzzy TODIM-ERA Method,partial,INCLUDE(2) vs EXCLUDE(1),Mayoria hacia INCLUDE. Verificar los criterios de evaluacion de Climate Literacy & Green Skills Specialist para entender la discrepancia.,Lead Methodologist,INCLUDE,82,ESD & Sustainability Education Expert,INCLUDE,78,Climate Literacy & Green Skills Specialist,EXCLUDE,70
40852,PliInc_2026,Increasing the attitudes toward sustainable development through mindfulness: an innovative approach for higher education institutions,partial,INCLUDE(2) vs EXCLUDE(1),Mayoria hacia INCLUDE. Verificar los criterios de evaluacion de Climate Literacy & Green Skills Specialist para entender la discrepancia.,Lead Methodologist,INCLUDE,78,ESD & Sustainability Education Expert,INCLUDE,78,Climate Literacy & Green Skills Specialist,EXCLUDE,70
40856,ChaLit_2024,Literacy for Sustainable Education: A Premise of Pedagogical Inclusiveness and Multilingualism in Higher Education,partial,INCLUDE(2) vs EXCLUDE(1),Mayoria hacia INCLUDE. Verificar los criterios de evaluacion de Climate Literacy & Green Skills Specialist para entender la discrepancia.,Lead Methodologist,INCLUDE,78,ESD & Sustainability Education Expert,INCLUDE,78,Climate Literacy & Green Skills Specialist,EXCLUDE,70
40860,PizOn _2021,On the maturity of social responsibility and sustainability integration in higher education institutions: Descriptive criteria and conceptual framework,partial,INCLUDE(2) vs EXCLUDE(1),Mayoria hacia INCLUDE. Verificar los criterios de evaluacion de Climate Literacy & Green Skills Specialist para entender la discrepancia.,Lead Methodologist,INCLUDE,78,ESD & Sustainability Education Expert,INCLUDE,78,Climate Literacy & Green Skills Specialist,EXCLUDE,70
40864,MuhQua_2025,"Quality Education for Sustainable Development: Evolving Pedagogies to Maintain a Balance Between Knowledge, Skills, and Values-Case Study of Saudi Universities",partial,INCLUDE(2) vs EXCLUDE(1),Mayoria hacia INCLUDE. Verificar los criterios de evaluacion de Climate Literacy & Green Skills Specialist para entender la discrepancia.,Lead Methodologist,INCLUDE,82,ESD & Sustainability Education Expert,INCLUDE,85,Climate Literacy & Green Skills Specialist,EXCLUDE,50
40873,WhiThe_2023,The future starts in the past: embedding learning for sustainability through culture and community in Scotland,partial,EXCLUDE(2) vs INCLUDE(1),Mayoria hacia EXCLUDE. Verificar los criterios de evaluacion de Lead Methodologist para entender la discrepancia.,Lead Methodologist,INCLUDE,78,ESD & Sustainability Education Expert,EXCLUDE,50,Climate Literacy & Green Skills Specialist,EXCLUDE,70
40881,SehUnd_2025,"Understanding the drivers of a pro-environmental attitude in higher education institutions: the interplay between knowledge, consciousness, and social influence",partial,INCLUDE(2) vs EXCLUDE(1),Mayoria hacia INCLUDE. Verificar los criterios de evaluacion de Climate Literacy & Green Skills Specialist para entender la discrepancia.,Lead Methodologist,INCLUDE,78,ESD & Sustainability Education Expert,INCLUDE,78,Climate Literacy & Green Skills Specialist,EXCLUDE,70
40886,"Str""Gr_2025","""Green skills"" and the emergent property of ""greening""",partial,INCLUDE(2) vs EXCLUDE(1),Mayoria hacia INCLUDE. Verificar los criterios de evaluacion de Climate Literacy & Green Skills Specialist para entender la discrepancia.,Lead Methodologist,INCLUDE,78,ESD & Sustainability Education Expert,INCLUDE,78,Climate Literacy & Green Skills Specialist,EXCLUDE,70
40892,WanAna_2019,Analyzing student satisfaction in the technical and vocational education system through collaborative teaching,partial,INCLUDE(2) vs EXCLUDE(1),Mayoria hacia INCLUDE. Verificar los criterios de evaluacion de Climate Literacy & Green Skills Specialist para entender la discrepancia.,Lead Methodologist,INCLUDE,78,ESD & Sustainability Education Expert,INCLUDE,78,Climate Literacy & Green Skills Specialist,EXCLUDE,50
40895,KopBus_2024,Business education and its paradoxes: Linking business and biodiversity through critical pedagogy curriculum,partial,INCLUDE(2) vs EXCLUDE(1),Mayoria hacia INCLUDE. Verificar los criterios de evaluacion de Climate Literacy & Green Skills Specialist para entender la discrepancia.,Lead Methodologist,INCLUDE,88,ESD & Sustainability Education Expert,INCLUDE,78,Climate Literacy & Green Skills Specialist,EXCLUDE,70
40903,MohEme_2022,Emergent Strategy in Higher Education: Postmodern Digital and the Future?,partial,EXCLUDE(2) vs INCLUDE(1),Mayoria hacia EXCLUDE. Verificar los criterios de evaluacion de Lead Methodologist para entender la discrepancia.,Lead Methodologist,INCLUDE,65,ESD & Sustainability Education Expert,EXCLUDE,50,Climate Literacy & Green Skills Specialist,EXCLUDE,70
40907,ShuEnv_2020,Environmental education for sustainable development in Russia,partial,EXCLUDE(2) vs INCLUDE(1),Mayoria hacia EXCLUDE. Verificar los criterios de evaluacion de ESD & Sustainability Education Expert para entender la discrepancia.,Lead Methodologist,EXCLUDE,50,ESD & Sustainability Education Expert,INCLUDE,78,Climate Literacy & Green Skills Specialist,EXCLUDE,70
40908,AcoEnv_2020,Environmental education in environmental engineering: Analysis of the situation in Colombia and Latin America,partial,INCLUDE(2) vs EXCLUDE(1),Mayoria hacia INCLUDE. Verificar los criterios de evaluacion de Climate Literacy & Green Skills Specialist para entender la discrepancia.,Lead Methodologist,INCLUDE,78,ESD & Sustainability Education Expert,INCLUDE,78,Climate Literacy & Green Skills Specialist,EXCLUDE,70
40911,IbrEva_2025,Evaluating SERTPs: Sustainable and Environmentally Responsible Teaching Practices Among Science Teachers,partial,EXCLUDE(2) vs INCLUDE(1),Mayoria hacia EXCLUDE. Verificar los criterios de evaluacion de ESD & Sustainability Education Expert para entender la discrepancia.,Lead Methodologist,EXCLUDE,70,ESD & Sustainability Education Expert,INCLUDE,85,Climate Literacy & Green Skills Specialist,EXCLUDE,70
40926,TytMod_2025,Modernization of Future Educators' Professional Training in the Context of Education for Sustainable Development,partial,INCLUDE(2) vs EXCLUDE(1),Mayoria hacia INCLUDE. Verificar los criterios de evaluacion de Climate Literacy & Green Skills Specialist para entender la discrepancia.,Lead Methodologist,INCLUDE,78,ESD & Sustainability Education Expert,INCLUDE,85,Climate Literacy & Green Skills Specialist,EXCLUDE,70
40929,JeoPri_2019,Prioritizing Elements of Science Education for Sustainable Development with the MCDA-FDEMATEL Method Using the Flipped E-Learning Scheme,partial,INCLUDE(2) vs EXCLUDE(1),Mayoria hacia INCLUDE. Verificar los criterios de evaluacion de Climate Literacy & Green Skills Specialist para entender la discrepancia.,Lead Methodologist,INCLUDE,78,ESD & Sustainability Education Expert,INCLUDE,78,Climate Literacy & Green Skills Specialist,EXCLUDE,70
40935,SchSci_2019,Scientific support for redesigning a higher-education curriculum on sustainability,partial,INCLUDE(2) vs EXCLUDE(1),Mayoria hacia INCLUDE. Verificar los criterios de evaluacion de Climate Literacy & Green Skills Specialist para entender la discrepancia.,Lead Methodologist,INCLUDE,82,ESD & Sustainability Education Expert,INCLUDE,78,Climate Literacy & Green Skills Specialist,EXCLUDE,70
40936,DieSoc_2021,Social Science Pedagogy as a Way of Integrating Sustainable Education and Global Citizenship into the Initial Training of Pre-Primary Teachers,partial,EXCLUDE(2) vs INCLUDE(1),Mayoria hacia EXCLUDE. Verificar los criterios de evaluacion de Lead Methodologist para entender la discrepancia.,Lead Methodologist,INCLUDE,78,ESD & Sustainability Education Expert,EXCLUDE,50,Climate Literacy & Green Skills Specialist,EXCLUDE,70
40937,OrtSoc_2020,"Socio-Environmental Problematic, End-Purposes, and Strategies Relating to Education for Sustainable Development (ESD) through the Perspectives of Spanish Secondary Education Trainee Teachers",partial,INCLUDE(2) vs EXCLUDE(1),Mayoria hacia INCLUDE. Verificar los criterios de evaluacion de Climate Literacy & Green Skills Specialist para entender la discrepancia.,Lead Methodologist,INCLUDE,78,ESD & Sustainability Education Expert,INCLUDE,78,Climate Literacy & Green Skills Specialist,EXCLUDE,70
40953,WeiThe_2021,The patterns of curriculum change processes that embed sustainability in higher education institutions,partial,EXCLUDE(2) vs INCLUDE(1),Mayoria hacia EXCLUDE. Verificar los criterios de evaluacion de ESD & Sustainability Education Expert para entender la discrepancia.,Lead Methodologist,EXCLUDE,70,ESD & Sustainability Education Expert,INCLUDE,85,Climate Literacy & Green Skills Specialist,EXCLUDE,70
40957,HuaThe_2023,The Teaching Quality Evaluation of Chinese-Foreign Cooperation in Running Schools from the Perspective of Education for Sustainable Development,partial,INCLUDE(2) vs EXCLUDE(1),Mayoria hacia INCLUDE. Verificar los criterios de evaluacion de Climate Literacy & Green Skills Specialist para entender la discrepancia.,Lead Methodologist,INCLUDE,72,ESD & Sustainability Education Expert,INCLUDE,78,Climate Literacy & Green Skills Specialist,EXCLUDE,70
40975,"Xu,Bet_2022",Between Expert and Novice: Identity Transition from Teacher to Student as Sustainable Agentic Construction,partial,EXCLUDE(2) vs INCLUDE(1),Mayoria hacia EXCLUDE. Verificar los criterios de evaluacion de Lead Methodologist para entender la discrepancia.,Lead Methodologist,INCLUDE,72,ESD & Sustainability Education Expert,EXCLUDE,50,Climate Literacy & Green Skills Specialist,EXCLUDE,70
